mean_return,std_return,mean_max_dd,calmar,mean_final_cap,n_episodes,feature_set,reward_mode,train_time_s,n_features,ann_return
0.0029414492134278046,0.015219972092110486,-0.008147946021372523,0.3610049507823527,10029.414492134278,5,B_trend,sortino,71.7,8,0.18711795895668226
0.001528474879371024,0.0072185611258453325,-0.009380335809729832,0.16294456269263177,10015.28474879371,5,A_momentum,sortino,72.4,8,0.09329359202908005
0.0010306075407638118,0.024817997550812928,-0.01603374644080703,0.0642773964457518,10010.306075407638,5,D_volume,sharpe,72.6,6,0.06200272299086795
-0.0005338188361695938,0.0044256683448962945,-0.003182393980570723,-0.16774122616101536,9994.661811638303,5,C_volatility,sortino,72.5,6,-0.03070215806418297
-0.005183386617016986,0.007794064359328323,-0.008714636834936642,-0.5947908238064687,9948.16613382983,5,E_combined,sortino,71.2,12,-0.2617679190176384
-0.007902845603267924,0.004705105911092893,-0.011788589062292448,-0.6703808989462062,9920.971543967322,5,D_volume,sortino,72.8,6,-0.37083361475975973
-0.008965259138290532,0.013591431065822864,-0.026658377602906642,-0.3363017410711176,9910.347408617094,5,A_momentum,sharpe,70.6,8,-0.408995845280538
-0.009025669099046646,0.003055748929530759,-0.009995508415685648,-0.9029723972730134,9909.743309009533,5,C_volatility,pnl,67.2,6,-0.4110960589713637
-0.009752702591902708,0.007153578476684898,-0.012974295638720029,-0.7516941275103184,9902.472974080973,5,C_volatility,sharpe,69.8,6,-0.4358038963609213
-0.010162764699412182,0.0071982563523073405,-0.016327504072269496,-0.6224321875528026,9898.372353005878,5,E_combined,sharpe,72.9,12,-0.44928722013020317
-0.010398589839945415,0.011316475590162429,-0.018313228222081247,-0.5678184723100214,9896.014101600545,5,B_trend,sharpe,70.0,8,-0.4568974522469539
-0.010821987447725367,0.005228444597024082,-0.014457732461007214,-0.7485258651995816,9891.780125522748,5,E_combined,pnl,67.2,12,-0.4703022464693003
-0.013150792942864791,0.014654226273590854,-0.027234945984144627,-0.48286464264170553,9868.492070571352,5,D_volume,pnl,67.1,6,-0.5384204969975467
-0.018439554205215827,0.012279389296827566,-0.021783289111842567,-0.8464999598564358,9815.604457947844,5,A_momentum,pnl,67.3,8,-0.662747115617445
-0.019903138479927,0.006004981306633181,-0.021681127247315538,-0.9179936695587473,9800.968615200729,5,B_trend,pnl,66.6,8,-0.6908925218053927
